DateTime,PT Tower,ET Tower,PT-JPL ET,DisALEXI ET
2021-10-21,0.6244596124944447,1.4554123238459606,0.938,0.302
2021-10-22,0.5890725233986268,,0.777,0.288
2021-10-23,0.5873925406614762,0.9153139848323588,0.735,0.308
2021-10-24,0.45052255886027764,,0.58,0.27
2021-10-25,0.464719962696352,,0.363,0.186
2021-10-26,0.8133522975352923,1.8471304859012905,1.057,0.591
2021-10-27,1.123098710923921,2.8134423935115813,1.389,0.841
2021-10-28,0.30720578856502795,,0.107,0.07
2021-10-29,0.3751555407934219,,0.162,0.113
2021-10-30,0.38823483484435,1.4132163107510392,0.216,0.161
2021-10-31,0.42625736882277665,1.2979510512662291,0.761,0.598
2021-11-01,0.11132410068334152,1.3197430040426092,0.686,0.57
2021-11-02,0.7576027954682155,1.7273743112065516,0.918,0.803
2021-11-03,0.6025119048639422,1.5056474951008412,0.626,0.575
2021-11-04,0.5777065100184356,1.3457786332241308,0.81,0.779
2021-11-05,0.7586036460082816,2.1493542851868286,0.988,0.992
2021-11-06,0.8322747188620628,1.517393236738079,1.095,1.109
2021-11-07,0.6643770105218116,1.6661203052122036,1.422,1.451
2021-11-08,0.5264028091750466,1.6382935902491744,1.419,1.459
2021-11-09,0.12043333435695239,0.5314095824175035,0.675,0.7
2021-11-10,-0.05197327520967209,,0.838,0.875
2021-11-11,-0.04786629712231122,,0.823,0.867
2021-11-12,0.42514444491635717,4.148211507978462,1.044,1.109
2021-11-13,0.5647702540590657,2.696108317681667,0.599,0.642
2021-11-14,0.21593080490798874,1.850789026165188,0.54,0.584
2021-11-15,0.23410645613356157,0.8533465957381399,0.536,0.584
2021-11-16,0.6287374874764483,1.2329122229087262,0.903,0.992
2021-11-17,-0.268627470654128,,0.527,0.584
2021-11-18,0.4644826233119442,5.051242901134449,0.836,0.934
2021-11-19,0.4624556113474062,1.1072307439632445,0.562,0.634
2021-11-20,0.8420333173612088,1.5216455236462867,1.019,1.159
2021-11-21,0.3759562018887101,,0.763,0.875
2021-11-22,0.3455900953002842,1.0608878995472844,0.655,0.759
2021-11-23,0.4630948866726175,1.5421786347874755,0.792,0.925
2021-11-24,0.27711421729623925,1.622121224518029,1.139,1.342
2021-11-25,0.05320393516742325,1.7775820723725662,0.147,0.175
2021-11-26,0.3857930530698489,1.2536424838019666,0.583,0.7
2021-11-27,0.07383842540973408,0.3789249874375698,0.619,0.75
2021-11-28,0.2852403687725427,1.1561079214465029,0.572,0.7
2021-11-29,0.28778558271891724,0.9413091693053371,0.702,0.867
2021-11-30,0.16361182312158873,0.4769242911953406,0.608,0.759
2021-12-01,0.2576729955577832,,0.608,0.765
2021-12-02,0.22194508706250268,1.3239854074447155,0.86,1.093
2021-12-03,0.31772252368112003,1.0147848679882532,0.596,0.765
2021-12-04,0.22379585614557074,0.9266338527614484,0.506,0.656
2021-12-05,0.0421772287582074,,0.626,0.82
2021-12-06,0.2613693589991625,,0.454,0.601
2021-12-07,0.1467725879903345,0.6966470461403471,0.368,0.492
2021-12-08,0.37125470241658587,0.6337462196572831,0.526,0.71
2021-12-09,0.38026390579796565,0.570605788946902,0.76,1.038
2021-12-10,0.07467605498213777,,0.475,0.656
2021-12-11,-0.24554330356165702,2.854509077441767,0.157,0.219
2021-12-12,0.1256601457511037,1.50342157974859,0.698,0.984
2021-12-13,0.1648295689629239,1.1627159318935727,0.608,0.867
2021-12-14,0.46797144762736764,1.2270223557473392,0.531,0.765
2021-12-15,0.00707901438574609,0.0549760958792814,0.675,0.984
2021-12-16,0.09046890218239097,2.910629570111105,0.259,0.383
2021-12-17,0.2199262283363901,0.6000873499347963,0.33,0.492
2021-12-18,0.09844968896115065,,0.145,0.219
2021-12-19,0.13920694699170555,0.6516901596483898,0.215,0.328
2021-12-20,0.17258764560957818,0.8733796651221609,0.354,0.546
2021-12-21,0.2867360442321059,1.1490043509088188,0.384,0.601
2021-12-22,0.12093441894068929,1.346267642951648,0.38,0.601
2021-12-23,0.21598986521798663,0.5482985808555911,0.648,1.038
2021-12-24,-0.11461490259054755,0.1925678428980084,0.606,0.984
2021-12-25,-0.17917530607869778,,0.233,0.383
2021-12-26,0.38008318818315895,1.1790684823988675,0.558,0.929
2021-12-27,-0.30447822157762244,0.3545469803655283,0.421,0.71
2021-12-28,0.2395266074854826,,0.192,0.328
2021-12-29,0.36368193156430306,,0.189,0.328
2021-12-30,0.23371460953246284,,0.156,0.273
2021-12-31,0.2528207739415938,,0.246,0.437
2022-01-01,0.17510857668655236,,0.059,0.111
2022-01-02,0.4000263951452559,,0.029,0.056
2022-01-03,0.2797570043892542,1.1410784352362182,0.172,0.334
2022-01-04,0.2606493616835935,0.8369660028917829,0.279,0.549
2022-01-05,0.17777195262677759,1.0661606953028795,0.195,0.39
2022-01-06,0.1300326603877875,0.4917264743476513,0.11,0.223
